Index,Review,Result,Aspect,Opinion,HOTEL#DESIGN&FEATURES,HOTEL#GENERAL,LOCATION#GENERAL,SERVICE#GENERAL,HOTEL#COMFORT,HOTEL#CLEANLINESS,FACILITIES#GENERAL,ROOMS#CLEANLINESS,ROOM_AMENITIES#COMFORT,ROOMS#COMFORT,FACILITIES#PRICES,ROOM_AMENITIES#GENERAL,DRINKS#STYLE&OPTIONS,ROOMS#PRICES,ROOMS#DESIGN&FEATURES,ROOMS#GENERAL,HOTEL#QUALITY,ROOMS#QUALITY,DRINKS#QUALITY,HOTEL#PRICES,FACILITIES#DESIGN&FEATURES,FACILITIES#QUALITY,ROOM_AMENITIES#QUALITY,ROOM_AMENITIES#CLEANLINESS,ROOM_AMENITIES#DESIGN&FEATURES,HOTEL#MISCELLANEOUS,DRINKS#PRICES,FACILITIES#COMFORT,DRINKS#MISCELLANEOUS,FACILITIES#CLEANLINESS,FACILITIES#MISCELLANEOUS,ROOMS#MISCELLANEOUS,ROOM_AMENITIES#MISCELLANEOUS
﻿#1,rộng_rãi ks vắng dịch_vụ chất_lượng,"[['HOTEL#DESIGN&FEATURES', 'positive'], ['HOTEL#GENERAL', 'negative']]","['HOTEL#DESIGN&FEATURES', 'HOTEL#GENERAL']","['positive', 'negative']",1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#2,địa_điểm thuận_tiện vòng bán_kính km quán ngon,"[['LOCATION#GENERAL', 'positive']]",['LOCATION#GENERAL'],['positive'],-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#3,phục_vụ view đẹp,"[['SERVICE#GENERAL', 'positive'], ['HOTEL#GENERAL', 'positive'], ['LOCATION#GENERAL', 'positive']]","['SERVICE#GENERAL', 'HOTEL#GENERAL', 'LOCATION#GENERAL']","['positive', 'positive', 'positive']",-0.5,1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#4,thuận_tiện sạch_sẽ vui_vẻ hài_lòng,"[['HOTEL#COMFORT', 'positive'], ['HOTEL#CLEANLINESS', 'positive'], ['SERVICE#GENERAL', 'positive']]","['HOTEL#COMFORT', 'HOTEL#CLEANLINESS', 'SERVICE#GENERAL']","['positive', 'positive', 'positive']",-0.5,-0.5,-0.5,1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#5,đẹp quán bar view đẹp nhân_viên thân_thiện,"[['LOCATION#GENERAL', 'positive'], ['FACILITIES#GENERAL', 'positive'], ['SERVICE#GENERAL', 'positive']]","['LOCATION#GENERAL', 'FACILITIES#GENERAL', 'SERVICE#GENERAL']","['positive', 'positive', 'positive']",-0.5,-0.5,1.0,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#6,co view huong ho sach se nhan vien tan tinh,"[['HOTEL#GENERAL', 'positive'], ['HOTEL#CLEANLINESS', 'positive'], ['SERVICE#GENERAL', 'positive']]","['HOTEL#GENERAL', 'HOTEL#CLEANLINESS', 'SERVICE#GENERAL']","['positive', 'positive', 'positive']",-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#7,phòng_ốc sạch giường thoải_mái nhân_viên thân_thiện,"[['ROOMS#CLEANLINESS', 'positive'], ['ROOM_AMENITIES#COMFORT', 'positive'], ['SERVICE#GENERAL', 'positive']]","['ROOMS#CLEANLINESS', 'ROOM_AMENITIES#COMFORT', 'SERVICE#GENERAL']","['positive', 'positive', 'positive']",-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#8,hồ tây view hồ lãng_mạn đi dọc hồ tây_ăn món hà_nội phòng sạch đẹp tiện_nghi view hồ tây tuyệt phí thuê xe ô_tô khách_sạn đi yên_tử chùa hương giá cáo,"[['LOCATION#GENERAL', 'positive'], ['HOTEL#GENERAL', 'positive'], ['ROOMS#CLEANLINESS', 'positive'], ['ROOMS#COMFORT', 'positive'], ['FACILITIES#PRICES', 'negative']]","['LOCATION#GENERAL', 'HOTEL#GENERAL', 'ROOMS#CLEANLINESS', 'ROOMS#COMFORT', 'FACILITIES#PRICES']","['positive', 'positive', 'positive', 'positive', 'negative']",-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#9,hình_thức quyết_định nội_dung h atildey tận_hưởng cảm_nhận tuyệt_vời,"[['HOTEL#COMFORT', 'positive']]",['HOTEL#COMFORT'],['positive'],-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#10,phòng phòng bụi tối đi ngủ đi chăn drap kiến_vàng tầng vật_dụng phòng tắm trà cafe nhân_viên lễ_tân nhiệt_tình dễ_chịu,"[['ROOMS#CLEANLINESS', 'negative'], ['ROOM_AMENITIES#GENERAL', 'negative'], ['DRINKS#STYLE&OPTIONS', 'negative'], ['SERVICE#GENERAL', 'positive']]","['ROOMS#CLEANLINESS', 'ROOM_AMENITIES#GENERAL', 'DRINKS#STYLE&OPTIONS', 'SERVICE#GENERAL']","['negative', 'negative', 'negative', 'positive']",-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
