Index,Review,Result,Aspect,Opinion,FOOD#STYLE&OPTIONS,FOOD#QUALITY,AMBIENCE#GENERAL,RESTAURANT#GENERAL,SERVICE#GENERAL,FOOD#PRICES,RESTAURANT#PRICES,LOCATION#GENERAL,RESTAURANT#MISCELLANEOUS,DRINKS#STYLE&OPTIONS,DRINKS#PRICES,DRINKS#QUALITY
﻿#1,ảnh chụp hôm_qua đi gia_đình họ_hàng sống xài gòn hôm_qua đi trưa muộn đói đồ nhào vô ăn_liền quên chụp gọi nước_mắm chụp món đói đồ kiểu lạ tui,"[['FOOD#STYLE&OPTIONS', 'neutral'], ['FOOD#QUALITY', 'neutral']]","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","['neutral', 'neutral']",0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#2,hương_vị thơm ngon_ăn cay cay nêm nếm vừa_miệng menu quán món lựa_chọn quán rộng_rãi view đẹp thoáng lắm quán đông nhân_viên phục_vụ lắm thịt heo rừng giá kì trung_bình giá hai đi chi giá ổn,"[['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['AMBIENCE#GENERAL', 'positive'], ['RESTAURANT#GENERAL', 'positive'], ['SERVICE#GENERAL', 'negative'], ['FOOD#PRICES', 'neutral'], ['RESTAURANT#PRICES', 'neutral']]","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'AMBIENCE#GENERAL', 'RESTAURANT#GENERAL', 'SERVICE#GENERAL', 'FOOD#PRICES', 'RESTAURANT#PRICES']","['positive', 'positive', 'positive', 'positive', 'negative', 'neutral', 'neutral']",1.0,1.0,1.0,1.0,-1.0,0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#3,bàn tiệc hoành_tráng đứa no tắt_thở giá giá trung đợt pad thái gà nướng kiểu thái quán hẻm phục_vụ dễ_thương chế_biến hợp vệ_sinh bếp lộ_thiên nấu,"[['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#PRICES', 'positive'], ['FOOD#QUALITY', 'positive'], ['AMBIENCE#GENERAL', 'negative'], ['LOCATION#GENERAL', 'negative'], ['SERVICE#GENERAL', 'positive'], ['RESTAURANT#MISCELLANEOUS', 'positive'], ['RESTAURANT#GENERAL', 'positive']]","['FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'FOOD#QUALITY', 'AMBIENCE#GENERAL', 'LOCATION#GENERAL', 'SERVICE#GENERAL', 'RESTAURANT#MISCELLANEOUS', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'negative', 'negative', 'positive', 'positive', 'positive']",1.0,1.0,-1.0,1.0,1.0,1.0,-0.5,-1.0,1.0,-0.5,-0.5,-0.5
#4,chảo to hình to bé tí_tẹo tèo teo í hoàng tráng lắm no lăn tích_cực hồi hà_nội thèm_thuồng thử vô xài gòn quán bánh_mì chảo đậm chất hà nội địa_điểm mấy đi thử thất_vọng ngon hê hê,"[['FOOD#STYLE&OPTIONS', 'positive'], ['RESTAURANT#GENERAL', 'positive'], ['FOOD#QUALITY', 'positive']]","['FOOD#STYLE&OPTIONS', 'RESTAURANT#GENERAL', 'FOOD#QUALITY']","['positive', 'positive', 'positive']",1.0,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#5,cháo hương hương lá dứa cháo cỡ hai chén cháo nhừ thơm cháo thơm mùi gạo tự_nhiên ếch vị satế cực_kì cay nồi ếch thơm_lừng tại_chỗ ếch nóng_hổi nóng bao ngon cay cay mặn mặn hoà cháo siêu ngon,"[['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'positive']]","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","['positive', 'positive']",1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#6,đồ nướng chỗ chẻ giá cực sinh_viên k xiên bò phô_mai bạch_tuộc nướng nưa thịt ướp ngon miệng_ăn chùn chỗ chê hê hê,"[['FOOD#PRICES', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'positive'], ['RESTAURANT#GENERAL', 'positive']]","['FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'positive']",1.0,1.0,-0.5,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#7,đói ngủ up hình đồ mấy coi mì ngon lắm chê đươc í không_gian cực_kì dễ_thương thíc hợp hẹn_hò tích_cực giá_cả gọi hợp_lí sinh_viên tụi thưởng bữa ngon_lành gọi_là tiếc_nuối,"[['FOOD#QUALITY', 'positive'], ['AMBIENCE#GENERAL', 'positive'], ['FOOD#PRICES', 'positive']]","['FOOD#QUALITY', 'AMBIENCE#GENERAL', 'FOOD#PRICES']","['positive', 'positive', 'positive']",-0.5,1.0,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#8,khẩu_vị hợp vệ_sinh không_gian quán rộng view tạm phục_vụ nhiệt_tình vui_vẻ,"[['FOOD#QUALITY', 'positive'], ['RESTAURANT#MISCELLANEOUS', 'positive'], ['AMBIENCE#GENERAL', 'positive'], ['LOCATION#GENERAL', 'neutral'], ['SERVICE#GENERAL', 'positive']]","['FOOD#QUALITY', 'RESTAURANT#MISCELLANEOUS', 'AMBIENCE#GENERAL', 'LOCATION#GENERAL', 'SERVICE#GENERAL']","['positive', 'positive', 'positive', 'neutral', 'positive']",-0.5,1.0,1.0,-0.5,1.0,-0.5,-0.5,0.5,1.0,-0.5,-0.5,-0.5
#9,kimchi kimchi cho_cùng đồ_ăn cay ngon hã lẩu bánh_gạo ăn_ở kimchikimchi no_nê nồi lẩu to tặng kèm lon sting cơm_chiên chương_trình khuyến_mại lẩu nghiền cay check in tích_cực,"[['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#PRICES', 'positive']]","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['positive', 'positive', 'positive']",1.0,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#10,lẩu hàu đầu ghiền lẩu giá đầy_đặn hàu trứng rau nấm gói mì hàn_ăn dai dai bở mấy lẩu đập trứng hàu trụng tái_ăn ngon lẩu cay cay ấm bụng cực d mì giá vắt trứng k trái,"[['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'positive'], ['FOOD#PRICES', 'neutral']]","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES']","['positive', 'positive', 'neutral']",1.0,1.0,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#11,ngon tuyệt_vời,"[['FOOD#QUALITY', 'positive']]",['FOOD#QUALITY'],['positive'],-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#12,quán cơm chay thuyền_viên ngon giòn h tối ngon mùi thơm nêm ăn_ăn tương_ớt ngon tương xí muội giá ok k,"[['FOOD#QUALITY', 'positive'], ['FOOD#PRICES', 'positive']]","['FOOD#QUALITY', 'FOOD#PRICES']","['positive', 'positive']",-0.5,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
